county,Area
Los Angeles,4058
San Diego,4207
Orange,791
Riverside,7206
San Bernardino,20057
Santa Clara,1290
Alameda,739
Sacramento,965
Contra Costa,723
Fresno,5959
Kern,8132
San Francisco,47
Ventura,1843
San Joaquin,1391
San Mateo,448
Stanislaus,1495
Sonoma,1576
Tulare,4824
Solano,822
Santa Barbara,2735
Monterey,3281
Placer,1407
Merced,1935
San Luis Obispo,3301
Santa Cruz,445
Marin,520
Yolo,1015
Butte,1636
El Dorado,1708
Shasta,3775
Imperial,4177
Madera,2137
Kings,1389
Napa,748
Humboldt,3568
Nevada,958
Sutter,602
Mendocino,3506
Yuba,632
Lake,1256
San Benito,1389
Tehama,2950
Tuolumne,2221
Calaveras,1020
Siskiyou,6278
Amador,595
Lassen,4541
Glenn,1314
Del Norte,1006
Colusa,1151
Plumas,2553
Inyo,10181
Trinity,3179
Mariposa,1449
Mono,3049
Modoc,3915
Sierra,953
Alpine,738
