_id,county,AMI,ALI_1,ALI_2,ALI_3,ALI_4,ALI_5,ALI_6,ALI_7,ALI_8,ELI_1,ELI_2,ELI_3,ELI_4,ELI_5,ELI_6,ELI_7,ELI_8,VLI_1,VLI_2,VLI_3,VLI_4,VLI_5,VLI_6,VLI_7,VLI_8,LI_1,LI_2,LI_3,LI_4,LI_5,LI_6,LI_7,LI_8,MOD_1,MOD_2,MOD_3,MOD_4,MOD_5,MOD_6,MOD_7,MOD_8
1,Alameda,142800,15000,17100,19250,21400,23100,24800,26550,28250,30000,34300,38600,42850,46300,49750,53150,56600,50000,57150,64300,71400,77150,82850,88550,94250,76750,87700,98650,109600,118400,127150,135950,144700,119950,137100,154200,171350,185050,198750,212450,226200
2,Alpine,94900,10000,11400,12850,14250,15400,16550,17650,18800,19100,21800,24550,27750,32470,37190,41910,46630,31800,36350,40900,45400,49050,52700,56300,59950,50900,58150,65400,72650,78500,84300,90100,95900,79750,91100,102500,113900,123000,132100,141250,150350
3,Amador,86600,9100,10400,11700,13000,14050,15100,16100,17150,18200,20800,23400,27750,32470,37190,41910,46630,30350,34650,39000,43300,46800,50250,53700,57200,48550,55450,62400,69300,74850,80400,85950,91500,72750,83100,93500,103900,112200,120500,128850,137150
4,Butte,85000,8950,10200,11500,12750,13750,14800,15800,16850,16350,18700,23030,27750,32470,37190,41910,46630,27300,31200,35100,38950,42100,45200,48300,51450,43650,49850,56100,62300,67300,72300,77300,82250,71400,81600,91800,102000,110150,118300,126500,134650
5,Calaveras,90000,9450,10800,12150,13500,14600,15650,16750,17800,18900,21600,24300,27750,32470,37190,41910,46630,31500,36000,40500,45000,48600,52200,55800,59400,50400,57600,64800,72000,77800,83550,89300,95050,75600,86400,97200,108000,116650,125300,133900,142550
6,Colusa,80300,8450,9650,10850,12050,13000,14000,14950,15900,16350,18700,23030,27750,32470,37190,41910,46630,27300,31200,35100,38950,42100,45200,48300,51450,43650,49850,56100,62300,67300,72300,77300,82250,67450,77100,86700,96350,104050,111750,119450,127200
7,Contra Costa,142800,15000,17100,19250,21400,23100,24800,26550,28250,30000,34300,38600,42850,46300,49750,53150,56600,50000,57150,64300,71400,77150,82850,88550,94250,76750,87700,98650,109600,118400,127150,135950,144700,119950,137100,154200,171350,185050,198750,212450,226200
8,Del Norte,80300,8450,9650,10850,12050,13000,14000,14950,15900,16350,18700,23030,27750,32470,37190,41910,46630,27300,31200,35100,38950,42100,45200,48300,51450,43650,49850,56100,62300,67300,72300,77300,82250,67450,77100,86700,96350,104050,111750,119450,127200
9,El Dorado,102200,10750,12300,13800,15350,16600,17800,19050,20250,21300,24350,27400,30400,32850,37190,41910,46630,35500,40550,45600,50650,54750,58800,62850,66900,56750,64850,72950,81050,87550,94050,100550,107000,85850,98100,110400,122650,132450,142250,152100,161900
10,Fresno,80300,8450,9650,10850,12050,13000,14000,14950,15900,16350,18700,23030,27750,32470,37190,41910,46630,27300,31200,35100,38950,42100,45200,48300,51450,43650,49850,56100,62300,67300,72300,77300,82250,67450,77100,86700,96350,104050,111750,119450,127200
